emoji,name,url,filename
🦶,foot,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/foot_1f9b6.png,data/foot.png
🦶🏻,foot: light skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/foot_light-skin-tone_1f9b6-1f3fb_1f3fb.png,data/foot: light skin tone.png
🦶🏼,foot: medium-light skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/foot_medium-light-skin-tone_1f9b6-1f3fc_1f3fc.png,data/foot: medium-light skin tone.png
🦶🏽,foot: medium skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/foot_medium-skin-tone_1f9b6-1f3fd_1f3fd.png,data/foot: medium skin tone.png
🦶🏾,foot: medium-dark skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/foot_medium-dark-skin-tone_1f9b6-1f3fe_1f3fe.png,data/foot: medium-dark skin tone.png
🦶🏿,foot: dark skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/foot_dark-skin-tone_1f9b6-1f3ff_1f3ff.png,data/foot: dark skin tone.png
👈,backhand index pointing left,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/backhand-index-pointing-left_1f448.png,data/backhand index pointing left.png
👈🏻,backhand index pointing left: light skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/backhand-index-pointing-left_light-skin-tone_1f448-1f3fb_1f3fb.png,data/backhand index pointing left: light skin tone.png
👈🏼,backhand index pointing left: medium-light skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/backhand-index-pointing-left_medium-light-skin-tone_1f448-1f3fc_1f3fc.png,data/backhand index pointing left: medium-light skin tone.png
👈🏽,backhand index pointing left: medium skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/backhand-index-pointing-left_medium-skin-tone_1f448-1f3fd_1f3fd.png,data/backhand index pointing left: medium skin tone.png
👈🏾,backhand index pointing left: medium-dark skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/backhand-index-pointing-left_medium-dark-skin-tone_1f448-1f3fe_1f3fe.png,data/backhand index pointing left: medium-dark skin tone.png
👈🏿,backhand index pointing left: dark skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/backhand-index-pointing-left_dark-skin-tone_1f448-1f3ff_1f3ff.png,data/backhand index pointing left: dark skin tone.png
👉,backhand index pointing right,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/backhand-index-pointing-right_1f449.png,data/backhand index pointing right.png
👉🏻,backhand index pointing right: light skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/backhand-index-pointing-right_light-skin-tone_1f449-1f3fb_1f3fb.png,data/backhand index pointing right: light skin tone.png
👉🏼,backhand index pointing right: medium-light skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/backhand-index-pointing-right_medium-light-skin-tone_1f449-1f3fc_1f3fc.png,data/backhand index pointing right: medium-light skin tone.png
👉🏽,backhand index pointing right: medium skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/backhand-index-pointing-right_medium-skin-tone_1f449-1f3fd_1f3fd.png,data/backhand index pointing right: medium skin tone.png
👉🏾,backhand index pointing right: medium-dark skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/backhand-index-pointing-right_medium-dark-skin-tone_1f449-1f3fe_1f3fe.png,data/backhand index pointing right: medium-dark skin tone.png
👉🏿,backhand index pointing right: dark skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/backhand-index-pointing-right_dark-skin-tone_1f449-1f3ff_1f3ff.png,data/backhand index pointing right: dark skin tone.png
☝️,index pointing up,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/index-pointing-up_261d-fe0f.png,data/index pointing up.png
☝,index pointing up,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/index-pointing-up_261d-fe0f.png,data/index pointing up.png
☝🏻,index pointing up: light skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/index-pointing-up_light-skin-tone_261d-1f3fb_1f3fb.png,data/index pointing up: light skin tone.png
☝🏼,index pointing up: medium-light skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/index-pointing-up_medium-light-skin-tone_261d-1f3fc_1f3fc.png,data/index pointing up: medium-light skin tone.png
☝🏽,index pointing up: medium skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/index-pointing-up_medium-skin-tone_261d-1f3fd_1f3fd.png,data/index pointing up: medium skin tone.png
☝🏾,index pointing up: medium-dark skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/index-pointing-up_medium-dark-skin-tone_261d-1f3fe_1f3fe.png,data/index pointing up: medium-dark skin tone.png
☝🏿,index pointing up: dark skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/index-pointing-up_dark-skin-tone_261d-1f3ff_1f3ff.png,data/index pointing up: dark skin tone.png
👆,backhand index pointing up,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/backhand-index-pointing-up_1f446.png,data/backhand index pointing up.png
👆🏻,backhand index pointing up: light skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/backhand-index-pointing-up_light-skin-tone_1f446-1f3fb_1f3fb.png,data/backhand index pointing up: light skin tone.png
👆🏼,backhand index pointing up: medium-light skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/backhand-index-pointing-up_medium-light-skin-tone_1f446-1f3fc_1f3fc.png,data/backhand index pointing up: medium-light skin tone.png
👆🏽,backhand index pointing up: medium skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/backhand-index-pointing-up_medium-skin-tone_1f446-1f3fd_1f3fd.png,data/backhand index pointing up: medium skin tone.png
👆🏾,backhand index pointing up: medium-dark skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/backhand-index-pointing-up_medium-dark-skin-tone_1f446-1f3fe_1f3fe.png,data/backhand index pointing up: medium-dark skin tone.png
👆🏿,backhand index pointing up: dark skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/backhand-index-pointing-up_dark-skin-tone_1f446-1f3ff_1f3ff.png,data/backhand index pointing up: dark skin tone.png
🖕,middle finger,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/middle-finger_1f595.png,data/middle finger.png
🖕🏻,middle finger: light skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/middle-finger_light-skin-tone_1f595-1f3fb_1f3fb.png,data/middle finger: light skin tone.png
🖕🏼,middle finger: medium-light skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/middle-finger_medium-light-skin-tone_1f595-1f3fc_1f3fc.png,data/middle finger: medium-light skin tone.png
🖕🏽,middle finger: medium skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/middle-finger_medium-skin-tone_1f595-1f3fd_1f3fd.png,data/middle finger: medium skin tone.png
🖕🏾,middle finger: medium-dark skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/middle-finger_medium-dark-skin-tone_1f595-1f3fe_1f3fe.png,data/middle finger: medium-dark skin tone.png
🖕🏿,middle finger: dark skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/middle-finger_dark-skin-tone_1f595-1f3ff_1f3ff.png,data/middle finger: dark skin tone.png
👇,backhand index pointing down,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/backhand-index-pointing-down_1f447.png,data/backhand index pointing down.png
👇🏻,backhand index pointing down: light skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/backhand-index-pointing-down_light-skin-tone_1f447-1f3fb_1f3fb.png,data/backhand index pointing down: light skin tone.png
👇🏼,backhand index pointing down: medium-light skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/backhand-index-pointing-down_medium-light-skin-tone_1f447-1f3fc_1f3fc.png,data/backhand index pointing down: medium-light skin tone.png
👇🏽,backhand index pointing down: medium skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/backhand-index-pointing-down_medium-skin-tone_1f447-1f3fd_1f3fd.png,data/backhand index pointing down: medium skin tone.png
👇🏾,backhand index pointing down: medium-dark skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/backhand-index-pointing-down_medium-dark-skin-tone_1f447-1f3fe_1f3fe.png,data/backhand index pointing down: medium-dark skin tone.png
👇🏿,backhand index pointing down: dark skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/backhand-index-pointing-down_dark-skin-tone_1f447-1f3ff_1f3ff.png,data/backhand index pointing down: dark skin tone.png
✌️,victory hand,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/victory-hand_270c-fe0f.png,data/victory hand.png
✌,victory hand,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/victory-hand_270c-fe0f.png,data/victory hand.png
✌🏻,victory hand: light skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/victory-hand_light-skin-tone_270c-1f3fb_1f3fb.png,data/victory hand: light skin tone.png
✌🏼,victory hand: medium-light skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/victory-hand_medium-light-skin-tone_270c-1f3fc_1f3fc.png,data/victory hand: medium-light skin tone.png
✌🏽,victory hand: medium skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/victory-hand_medium-skin-tone_270c-1f3fd_1f3fd.png,data/victory hand: medium skin tone.png
✌🏾,victory hand: medium-dark skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/victory-hand_medium-dark-skin-tone_270c-1f3fe_1f3fe.png,data/victory hand: medium-dark skin tone.png
✌🏿,victory hand: dark skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/victory-hand_dark-skin-tone_270c-1f3ff_1f3ff.png,data/victory hand: dark skin tone.png
🤞,crossed fingers,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/crossed-fingers_1f91e.png,data/crossed fingers.png
🤞🏻,crossed fingers: light skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/crossed-fingers_light-skin-tone_1f91e-1f3fb_1f3fb.png,data/crossed fingers: light skin tone.png
🤞🏼,crossed fingers: medium-light skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/crossed-fingers_medium-light-skin-tone_1f91e-1f3fc_1f3fc.png,data/crossed fingers: medium-light skin tone.png
🤞🏽,crossed fingers: medium skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/crossed-fingers_medium-skin-tone_1f91e-1f3fd_1f3fd.png,data/crossed fingers: medium skin tone.png
🤞🏾,crossed fingers: medium-dark skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/crossed-fingers_medium-dark-skin-tone_1f91e-1f3fe_1f3fe.png,data/crossed fingers: medium-dark skin tone.png
🤞🏿,crossed fingers: dark skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/crossed-fingers_dark-skin-tone_1f91e-1f3ff_1f3ff.png,data/crossed fingers: dark skin tone.png
🖖,vulcan salute,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/vulcan-salute_1f596.png,data/vulcan salute.png
🖖🏻,vulcan salute: light skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/vulcan-salute_light-skin-tone_1f596-1f3fb_1f3fb.png,data/vulcan salute: light skin tone.png
🖖🏼,vulcan salute: medium-light skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/vulcan-salute_medium-light-skin-tone_1f596-1f3fc_1f3fc.png,data/vulcan salute: medium-light skin tone.png
